Unnamed: 0_level_0,[112],[21110],[2218],[2316],[2414],[2512],[26],[3119],[312117],[312215],[312313],[312411],[3216],[322114],[322212],[3223],[3313],[332111],[34],[4118],[412116],[412214],[412312],[4124],[413115],[41312113],[41312211],[413212],[413221],[4214],[422112],[4222],[423111],[43],[5117],[512115],[512213],[512311],[513114],[51312112],[513122],[513211],[514113],[51412111],[514131],[5212],[5221],[6116],[612114],[612212],[6123],[613113],[61312111],[6132],[614112],[614121],[615111],[62],[7115],[712113],[712211],[713112],[713121],[714111],[7151],[8114],[812112],[8122],[813111],[8141],[9113],[912111],[9131],[10112],[10121],[11111],[121]
s[322212],2673,-567,117,-27,9,-15,45,0,0,0,0,0,0,0,0,0,0,0,0,63,-9,3,3,-9,0,0,0,0,0,-3,-3,1,0,3,-27,3,-3,3,0,0,0,0,3,1,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,6,0,-2,0,0,0,1,-3,1,1,0,-1,0,0,0,0,0,0,0
s[322114],1925,-525,105,-25,13,-5,-15,140,0,0,-4,4,-25,3,3,-1,-1,-3,-4,-35,-5,1,-1,5,10,-2,-2,1,1,-3,3,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-3,-1,1,0,1,2,0,-1,0,0,0,0
s[3216],616,-224,56,-8,8,-16,24,112,-14,-4,-2,8,-5,7,-1,-5,-5,1,4,-56,4,0,4,-8,4,-2,0,1,1,0,0,0,0,0,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,-5,-1,-1,3,1,-1,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0
s[312411],1155,-315,91,-19,3,5,-5,21,-21,1,-1,-3,21,3,1,-1,-6,0,-6,49,-1,1,-1,1,-11,-1,1,1,-1,7,1,-1,1,-3,-35,5,1,1,1,-1,1,1,-1,-1,-1,0,0,11,-3,-1,1,2,0,2,-1,1,1,-2,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,0,0
s[312313],1408,-448,128,-32,0,0,0,112,-28,8,4,0,4,-4,-4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,2,-2,-2,2,2,-2,-1,0,0,0,-2,2,16,0,0,0,-2,0,-2,0,0,1,0,-6,0,2,0,0,0,-1,0,0,0,0,0,1,-1,1,0,0,0,0
s[312215],891,-351,111,-27,3,9,-9,162,-36,6,0,-6,0,0,0,0,0,0,0,-69,9,-1,-3,3,6,0,2,0,0,-5,1,-1,-2,3,21,-1,1,3,-3,-1,1,0,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,1,-1,1,0,3,1,-1,0,-1,0,0,0,-1,1,0,0
s[312117],320,-160,64,-16,0,0,0,104,-34,4,2,0,14,2,-2,2,-4,2,-4,-64,16,0,0,0,-4,-2,0,2,-2,0,0,0,0,0,35,-5,-1,-1,-1,1,-1,-1,1,1,1,0,0,-16,0,0,0,2,0,2,0,0,-1,0,5,1,1,-1,1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,0
s[3119],55,-35,19,-7,-1,5,-5,28,-14,4,2,-4,10,-2,-2,2,1,1,1,-21,9,-1,-3,3,-6,0,2,0,0,3,1,-1,0,-1,15,-5,-1,3,3,1,-1,0,-1,-1,-1,0,0,-10,2,2,-2,-1,-1,-1,0,0,0,1,6,0,-2,0,0,0,1,-3,-1,1,0,1,1,1,1,0,0,0,-1
s[26],132,-48,20,-8,4,0,20,6,-6,2,-2,-2,6,0,2,4,-3,-3,6,8,0,0,0,-8,-4,0,0,2,0,4,0,4,-2,0,-8,2,0,2,1,-1,-3,1,-2,0,1,2,2,4,-2,0,2,1,1,-2,0,-2,-1,2,-1,1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
s[2512],297,-117,49,-21,9,-5,-15,27,-15,7,-3,3,9,-3,1,-3,0,0,0,7,1,-1,1,7,-5,1,-1,1,1,5,-1,-3,-1,3,-13,3,-1,-1,2,0,2,-1,-3,1,0,2,-2,9,-3,1,-3,0,0,0,1,1,-1,0,-4,2,0,-1,-1,0,1,1,-1,1,1,-1,0,0,0,0,0,0,0
